"","species","lat","lon","month","year"
"1","Calvatia gigantea",55.494136,-4.45506,10,2004
"2","Calvatia gigantea",51.379077,-3.079014,9,1997
"3","Calvatia gigantea",51.376078,-3.366302,9,2019
"4","Calvatia gigantea",51.560118,-2.939038,8,2020
"5","Calvatia gigantea",51.741885,-2.653137,9,1980
"7","Calvatia gigantea",51.465968,-3.368986,7,2007
"8","Calvatia gigantea",51.733844,-3.521882,9,2016
"9","Calvatia gigantea",51.460132,-3.800657,8,2019
"10","Calvatia gigantea",54.308872,-1.630503,9,2022
"11","Calvatia gigantea",53.933271,-2.961043,9,1991
"12","Calvatia gigantea",53.701652,-2.652806,9,1999
"13","Calvatia gigantea",53.628411,-2.863372,9,1996
"14","Calvatia gigantea",53.77075,-3.048362,9,2015
"15","Calvatia gigantea",51.624056,-4.92616,12,2006
"16","Calvatia gigantea",52.731161,-1.50609,9,2022
"17","Calvatia gigantea",52.706858,-1.318397,9,2022
"18","Calvatia gigantea",50.978017,-0.497512,10,2022
"19","Calvatia gigantea",52.536733,0.918696,10,2022
"20","Calvatia gigantea",51.357972,-0.853192,9,2022
"21","Calvatia gigantea",51.826288,-3.065464,9,2022
"22","Calvatia gigantea",52.546942,0.922066,10,2022
"23","Calvatia gigantea",57.042785,-2.908041,1,1975
"24","Calvatia gigantea",57.054286,-3.889303,9,1995
"25","Calvatia gigantea",57.336928,-2.524907,10,2009
"26","Calvatia gigantea",56.872712,-3.33868,9,1997
"27","Calvatia gigantea",57.056663,-2.850675,1,1981
"28","Calvatia gigantea",51.478744,-0.295573,11,2022
"29","Calvatia gigantea",51.6325,-0.417522,11,2022
"30","Calvatia gigantea",51.778089,-2.382305,11,2022
"31","Calvatia gigantea",53.51433,-3.028346,7,2020
"32","Calvatia gigantea",55.942734,-2.372203,6,2014
"33","Calvatia gigantea",55.742805,-2.177569,12,2011
"34","Calvatia gigantea",55.860602,-2.091837,1,2012
"35","Calvatia gigantea",55.810311,-2.050234,2,2012
"38","Calvatia gigantea",55.669956,-2.220164,1,2012
"39","Calvatia gigantea",55.78952,-2.182566,2,2012
"40","Calvatia gigantea",55.924215,-2.229606,11,2012
"41","Calvatia gigantea",56.060167,-2.652755,9,2015
