species,scientificName,verbatimScientificName,decimalLatitude,decimalLongitude,day,month,year
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,55.494136,-4.45506,12,10,2004
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.379077,-3.079014,22,9,1997
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.376078,-3.366302,7,9,2019
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.560118,-2.939038,10,8,2020
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.741885,-2.653137,,,1980
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.560118,-2.939038,10,8,2020
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.465968,-3.368986,16,7,2007
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.733844,-3.521882,28,9,2016
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.460132,-3.800657,24,8,2019
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,54.308872,-1.630503,17,9,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.933271,-2.961043,,,1991
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.701652,-2.652806,,,1999
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.628411,-2.863372,,,1996
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,53.77075,-3.048362,,,2015
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,51.624056,-4.92616,21,12,2006
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.731161,-1.50609,12,9,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.706858,-1.318397,28,9,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,50.978017,-0.497512,6,10,2022
Calvatia gigantea,Calvatia gigantea (Batsch) Lloyd,Calvatia gigantea,52.536733,0.918696,14,10,2022
