"","species","lon","lat","month","year","present"
"1","Calvatia gigantea",3.15416666666667,50.9708333333333,1,2017,0
"2","Calvatia gigantea",3.32083333333333,50.5958333333333,9,2019,0
"3","Calvatia gigantea",-8.6125,52.5208333333333,9,2000,0
"4","Calvatia gigantea",-4.40416666666667,53.4041666666667,9,2003,0
"5","Calvatia gigantea",-8.77916666666667,53.3458333333333,6,2001,0
"6","Calvatia gigantea",-6.6375,53.7125,6,2002,0
"7","Calvatia gigantea",-1.87083333333333,54.0541666666667,6,1987,0
"8","Calvatia gigantea",-8.6625,53.5375,5,1998,0
"9","Calvatia gigantea",0.5875,52.6708333333333,7,2010,0
"10","Calvatia gigantea",1.09583333333333,52.0541666666667,1,2000,0
"11","Calvatia gigantea",-4.14583333333333,51.7375,11,2011,0
"12","Calvatia gigantea",-6.90416666666667,52.1458333333333,9,1980,0
"13","Calvatia gigantea",1.82083333333333,50.6541666666667,12,2020,0
"14","Calvatia gigantea",3.04583333333333,49.7875,7,1984,0
"15","Calvatia gigantea",-6.60416666666667,52.7125,3,2009,0
"16","Calvatia gigantea",-2.6125,52.7791666666667,12,1991,0
"17","Calvatia gigantea",-2.5125,54.6041666666667,11,1984,0
"18","Calvatia gigantea",-7.3125,57.3625,9,2019,0
"19","Calvatia gigantea",-1.6125,51.6625,6,1992,0
"20","Calvatia gigantea",3.17083333333333,50.7541666666667,8,1998,0
"21","Calvatia gigantea",-10.3625,52.1458333333333,6,2005,0
"22","Calvatia gigantea",-2.84583333333333,55.9375,9,2010,0
"23","Calvatia gigantea",-6.24583333333333,56.3375,10,2001,0
"24","Calvatia gigantea",-8.1375,54.9791666666667,9,1997,0
"25","Calvatia gigantea",-3.4125,51.9541666666667,9,2004,0
"26","Calvatia gigantea",-2.50416666666667,51.9708333333333,5,2015,0
"27","Calvatia gigantea",-1.22083333333333,52.7291666666667,4,1983,0
"28","Calvatia gigantea",-8.65416666666667,53.0208333333333,3,2001,0
"29","Calvatia gigantea",-8.67916666666667,53.5125,2,1998,0
"30","Calvatia gigantea",-5.4875,56.0958333333333,1,2019,0
"31","Calvatia gigantea",1.14583333333333,52.2291666666667,12,2009,0
"32","Calvatia gigantea",-10.2458333333333,51.7291666666667,10,1987,0
"33","Calvatia gigantea",-5.47083333333333,55.9958333333333,8,2008,0
"34","Calvatia gigantea",-4.27916666666667,56.7375,7,2004,0
"35","Calvatia gigantea",-6.4875,58.1458333333333,10,1997,0
"36","Calvatia gigantea",-0.487500000000001,53.4958333333333,1,1996,0
"37","Calvatia gigantea",0.520833333333334,52.2041666666667,5,1983,0
"38","Calvatia gigantea",-7.55416666666667,53.9125,7,1992,0
"39","Calvatia gigantea",2.32916666666667,50.3958333333333,8,2019,0
"40","Calvatia gigantea",-4.69583333333333,56.6541666666667,2,2010,0
"41","Calvatia gigantea",-7.69583333333333,53.1625,2,2012,0
"42","Calvatia gigantea",-3.54583333333333,55.9125,4,1988,0
"43","Calvatia gigantea",-2.35416666666667,52.4875,6,2012,0
"44","Calvatia gigantea",0.0541666666666671,51.9375,12,1985,0
"45","Calvatia gigantea",0.512499999999999,50.9875,7,2014,0
"46","Calvatia gigantea",-3.2125,56.1041666666667,6,2020,0
"47","Calvatia gigantea",-8.6625,54.1041666666667,6,1996,0
"48","Calvatia gigantea",-6.62083333333333,54.2958333333333,2,2002,0
"49","Calvatia gigantea",-7.5875,53.6541666666667,10,1998,0
"50","Calvatia gigantea",-1.09583333333333,51.9458333333333,5,2010,0
"51","Calvatia gigantea",-2.2875,51.1541666666667,8,2004,0
"52","Calvatia gigantea",-6.3625,49.9458333333333,11,2012,0
"53","Calvatia gigantea",0.595833333333333,51.8791666666667,5,1995,0
"54","Calvatia gigantea",-1.3875,49.0875,8,1987,0
"55","Calvatia gigantea",3.5875,50.7458333333333,1,2009,0
"56","Calvatia gigantea",-2.2875,51.6625,9,1997,0
"57","Calvatia gigantea",-3.64583333333333,58.2458333333333,10,2015,0
"58","Calvatia gigantea",-1.4125,53.4041666666667,5,1980,0
"59","Calvatia gigantea",-4.30416666666667,54.8791666666667,10,1992,0
"60","Calvatia gigantea",-3.64583333333333,56.0958333333333,10,2019,0
"61","Calvatia gigantea",-3.0625,54.4208333333333,4,1990,0
"62","Calvatia gigantea",1.44583333333333,52.1541666666667,3,1993,0
"63","Calvatia gigantea",1.7375,50.8708333333333,3,1989,0
"64","Calvatia gigantea",-4.15416666666667,56.5958333333333,7,1980,0
