"","species","lon","lat","month","year","present"
"1","Calvatia gigantea",-0.854166666666666,53.9125,11,1984,0
"2","Calvatia gigantea",-5.0875,51.8375,6,1997,0
"3","Calvatia gigantea",3.4125,49.9875,1,1986,0
"4","Calvatia gigantea",2.47916666666667,49.6625,6,1981,0
"5","Calvatia gigantea",-3.9625,58.4625,6,2012,0
"6","Calvatia gigantea",-4.35416666666667,56.3291666666667,9,2001,0
"7","Calvatia gigantea",-6.4625,54.3291666666667,10,1995,0
"8","Calvatia gigantea",-7.10416666666667,54.8791666666667,7,2000,0
"9","Calvatia gigantea",-4.02916666666667,50.3708333333333,11,1996,0
"10","Calvatia gigantea",1.84583333333333,50.4375,7,2002,0
"11","Calvatia gigantea",2.84583333333333,49.0291666666667,10,1996,0
"12","Calvatia gigantea",-8.87916666666667,53.6291666666667,12,2018,0
"13","Calvatia gigantea",-5.5375,55.4875,11,1980,0
"14","Calvatia gigantea",-1.8875,51.0125,8,1991,0
"15","Calvatia gigantea",-1.62916666666667,60.2458333333333,8,1997,0
"16","Calvatia gigantea",-3.64583333333333,51.5125,4,2014,0
"17","Calvatia gigantea",0.954166666666666,49.1458333333333,5,2014,0
"18","Calvatia gigantea",-2.37916666666667,57.4375,11,2008,0
"19","Calvatia gigantea",1.8875,50.9541666666667,8,1980,0
"20","Calvatia gigantea",2.77916666666667,50.8041666666667,7,2009,0
"21","Calvatia gigantea",-1.7125,54.0625,2,1993,0
"22","Calvatia gigantea",-9.4375,52.4458333333333,11,1993,0
"23","Calvatia gigantea",-7.42916666666667,55.1625,11,2001,0
"24","Calvatia gigantea",-1.29583333333333,50.9291666666667,4,2010,0
"25","Calvatia gigantea",0.1625,53.2208333333333,10,1996,0
"26","Calvatia gigantea",-1.2375,53.5625,10,2006,0
"27","Calvatia gigantea",0.262499999999999,50.7708333333333,5,2007,0
"28","Calvatia gigantea",-7.27916666666667,53.6458333333333,7,2011,0
"29","Calvatia gigantea",-3.4875,57.6875,1,2009,0
"30","Calvatia gigantea",-0.454166666666667,53.7208333333333,3,2005,0
"31","Calvatia gigantea",-4.0125,55.5125,3,1999,0
"32","Calvatia gigantea",-2.22916666666667,53.0625,9,2004,0
"33","Calvatia gigantea",-0.6625,52.0958333333333,3,2008,0
"34","Calvatia gigantea",-0.904166666666667,49.1958333333333,5,2007,0
"35","Calvatia gigantea",-6.22083333333333,55.0541666666667,1,2005,0
"36","Calvatia gigantea",-8.47083333333333,54.2791666666667,12,1997,0
"37","Calvatia gigantea",-2.87916666666667,51.0125,2,1988,0
"38","Calvatia gigantea",-4.32083333333333,55.0625,10,2019,0
